timestamp,WS10m_ERA5_ms,WS50m_ERA5_ms,WS50m_MERRA2_ms,cf_wind_MERRA2
2020-01-04 10:00:00,1.66,2.0136523281465664,2.063,0.001
2020-01-04 11:00:00,2.28,2.765739342273597,1.668,0.0
2020-01-04 12:00:00,2.83,3.432913306418544,1.471,0.0
2020-01-04 13:00:00,3.24,3.930261170599323,1.607,0.0
2020-01-04 14:00:00,3.66,4.439739470491827,2.079,0.002
2020-01-04 15:00:00,4.07,4.937087334672606,2.712,0.008
2020-01-04 16:00:00,4.48,5.434435198853385,3.538,0.028
2020-01-04 17:00:00,4.48,5.434435198853385,4.226,0.055
2020-01-04 18:00:00,4.34,5.264609098889216,4.598,0.074
2020-01-04 19:00:00,4.28,5.191826484618859,4.632,0.076
2020-01-04 20:00:00,4.14,5.02200038465469,4.462,0.066
2020-01-04 21:00:00,3.86,4.6823481847263535,4.234,0.055
2020-01-04 22:00:00,2.48,3.0083480565081233,4.121,0.051
2020-01-04 23:00:00,1.86,2.2562610423810927,4.13,0.051
2020-01-05 00:00:00,1.86,2.2562610423810927,4.097,0.049
2020-01-05 01:00:00,1.86,2.2562610423810927,3.98,0.044
2020-01-05 02:00:00,1.66,2.0136523281465664,3.61,0.03
2020-01-05 03:00:00,1.24,1.5041740282540617,2.986,0.013
2020-01-05 04:00:00,0.62,0.7520870141270308,2.796,0.009
2020-01-05 05:00:00,1.24,1.5041740282540617,2.906,0.011
2020-01-05 06:00:00,2.14,2.5959132423094293,3.152,0.017
2020-01-05 07:00:00,2.55,3.0932611064902074,2.901,0.011
2020-01-05 08:00:00,2.62,3.178174156472292,3.263,0.019
2020-01-05 09:00:00,2.62,3.178174156472292,3.559,0.028
2020-01-05 10:00:00,3.59,4.354826420509743,3.552,0.028
2020-01-05 11:00:00,3.31,4.0151742205814065,3.665,0.032
2020-01-05 12:00:00,2.9,3.517826356400628,3.592,0.029
2020-01-05 13:00:00,2.83,3.432913306418544,3.143,0.016
2020-01-05 14:00:00,3.38,4.100087270563491,3.044,0.014
2020-01-05 15:00:00,4.21,5.106913434636774,3.502,0.027
2020-01-05 16:00:00,4.76,5.77408739878172,3.906,0.041
2020-01-05 17:00:00,4.9,5.943913498745889,4.122,0.051
2020-01-05 18:00:00,4.76,5.77408739878172,4.245,0.056
2020-01-05 19:00:00,4.55,5.519348248835468,4.506,0.069
2020-01-05 20:00:00,4.07,4.937087334672606,4.767,0.083
2020-01-05 21:00:00,3.59,4.354826420509743,4.762,0.083
2020-01-05 22:00:00,3.24,3.930261170599323,4.394,0.064
2020-01-05 23:00:00,2.69,3.263087206454376,4.203,0.054
2020-01-06 00:00:00,1.86,2.2562610423810927,4.339,0.06
2020-01-06 01:00:00,0.83,1.0068261640732832,4.316,0.059
2020-01-06 02:00:00,1.45,1.758913178200314,4.077,0.048
2020-01-06 03:00:00,2.28,2.765739342273597,3.671,0.032
2020-01-06 04:00:00,2.62,3.178174156472292,3.247,0.019
2020-01-06 05:00:00,2.48,3.0083480565081233,3.002,0.013
2020-01-06 06:00:00,2.14,2.5959132423094293,2.848,0.01
2020-01-06 07:00:00,1.59,1.9287392781644823,2.24,0.003
2020-01-06 08:00:00,1.1,1.3343479282898936,1.798,0.001
2020-01-06 09:00:00,0.83,1.0068261640732832,1.255,0.0
2020-01-06 10:00:00,1.59,1.9287392781644823,0.952,0.0
2020-01-06 11:00:00,1.72,2.086434942416924,1.441,0.0
2020-01-06 12:00:00,2.14,2.5959132423094293,2.01,0.001
2020-01-06 13:00:00,2.62,3.178174156472292,2.515,0.005
2020-01-06 14:00:00,3.24,3.930261170599323,3.173,0.017
2020-01-06 15:00:00,3.52,4.269913370527659,3.858,0.039
2020-01-06 16:00:00,3.79,4.597435134744269,4.67,0.078
2020-01-06 17:00:00,3.79,4.597435134744269,5.361,0.122
2020-01-06 18:00:00,3.72,4.512522084762185,5.619,0.141
2020-01-06 19:00:00,3.79,4.597435134744269,5.482,0.131
2020-01-06 20:00:00,3.86,4.6823481847263535,5.226,0.112
2020-01-06 21:00:00,3.86,4.6823481847263535,4.997,0.097
2020-01-06 22:00:00,3.38,4.100087270563491,4.765,0.083
2020-01-06 23:00:00,3.31,4.0151742205814065,4.45,0.066
2020-01-07 00:00:00,2.9,3.517826356400628,4.357,0.061
2020-01-07 01:00:00,2.28,2.765739342273597,4.347,0.061
2020-01-07 02:00:00,2.0,2.426087142345261,4.201,0.054
2020-01-07 03:00:00,2.07,2.511000192327345,3.954,0.043
2020-01-07 04:00:00,2.21,2.680826292291513,3.683,0.033
2020-01-07 05:00:00,2.07,2.511000192327345,3.533,0.027
2020-01-07 06:00:00,1.79,2.1713479923990087,3.465,0.026
2020-01-07 07:00:00,1.38,1.6740001282182297,3.901,0.041
2020-01-07 08:00:00,1.45,1.758913178200314,4.218,0.055
2020-01-07 09:00:00,1.72,2.086434942416924,3.768,0.036
2020-01-07 10:00:00,1.52,1.8438262281823983,2.749,0.008
2020-01-07 11:00:00,0.9,1.0917392140553674,1.392,0.0
2020-01-07 12:00:00,0.69,0.8370000641091149,2.188,0.002
2020-01-07 13:00:00,1.93,2.3411740923631768,3.532,0.027
2020-01-07 14:00:00,2.83,3.432913306418544,4.408,0.064
2020-01-07 15:00:00,3.72,4.512522084762185,5.034,0.1
2020-01-07 16:00:00,4.21,5.106913434636774,5.502,0.132
2020-01-07 17:00:00,4.41,5.3495221488713005,5.767,0.153
2020-01-07 18:00:00,4.62,5.604261298817552,5.625,0.142
2020-01-07 19:00:00,4.55,5.519348248835468,5.163,0.108
2020-01-07 20:00:00,4.41,5.3495221488713005,4.781,0.085
2020-01-07 21:00:00,4.34,5.264609098889216,4.55,0.071
2020-01-07 22:00:00,3.1,3.7604350706351544,4.453,0.066
2020-01-07 23:00:00,2.76,3.3480002564364595,4.385,0.063
2020-01-08 00:00:00,2.14,2.5959132423094293,4.082,0.048
2020-01-08 01:00:00,1.59,1.9287392781644823,3.61,0.03
2020-01-08 02:00:00,1.38,1.6740001282182297,3.256,0.019
2020-01-08 03:00:00,1.79,2.1713479923990087,3.263,0.019
2020-01-08 04:00:00,2.41,2.9234350065260393,3.328,0.021
2020-01-08 05:00:00,2.9,3.517826356400628,3.032,0.014
2020-01-08 06:00:00,3.03,3.67552202065307,2.509,0.005
2020-01-08 07:00:00,3.1,3.7604350706351544,2.311,0.003
2020-01-08 08:00:00,3.1,3.7604350706351544,2.107,0.002
2020-01-08 09:00:00,2.69,3.263087206454376,1.567,0.0
2020-01-08 10:00:00,0.83,1.0068261640732832,1.037,0.0
2020-01-08 11:00:00,0.55,0.6671739641449468,1.102,0.0
2020-01-08 12:00:00,1.45,1.758913178200314,1.424,0.0
2020-01-08 13:00:00,2.41,2.9234350065260393,2.197,0.002
2020-01-08 14:00:00,3.52,4.269913370527659,2.62,0.006
2020-01-08 15:00:00,4.28,5.191826484618859,2.943,0.012
2020-01-08 16:00:00,4.69,5.689174348799637,3.179,0.017
2020-01-08 17:00:00,4.83,5.859000448763805,3.466,0.026
2020-01-08 18:00:00,4.97,6.028826548727973,3.637,0.031
2020-01-08 19:00:00,4.9,5.943913498745889,3.477,0.026
2020-01-08 20:00:00,4.69,5.689174348799637,3.119,0.016
2020-01-08 21:00:00,4.0,4.852174284690522,2.646,0.007
2020-01-08 22:00:00,3.45,4.1850003205455755,2.233,0.002
2020-01-08 23:00:00,2.34,2.838521956543955,1.957,0.001
2020-01-09 00:00:00,1.52,1.8438262281823983,1.814,0.001
2020-01-09 01:00:00,1.1,1.3343479282898936,1.766,0.0
2020-01-09 02:00:00,1.24,1.5041740282540617,1.707,0.0
2020-01-09 03:00:00,1.52,1.8438262281823983,1.586,0.0
2020-01-09 04:00:00,1.66,2.0136523281465664,1.585,0.0
2020-01-09 05:00:00,1.38,1.6740001282182297,1.752,0.0
2020-01-09 06:00:00,0.07,0.08491304998208414,1.935,0.001
2020-01-09 07:00:00,2.28,2.765739342273597,1.485,0.0
2020-01-09 08:00:00,3.17,3.8453481206172384,0.903,0.0
2020-01-09 09:00:00,2.69,3.263087206454376,0.793,0.0
2020-01-09 10:00:00,2.83,3.432913306418544,0.801,0.0
2020-01-09 11:00:00,2.97,3.6027394063827125,1.055,0.0
2020-01-09 12:00:00,3.66,4.439739470491827,1.678,0.0
2020-01-09 13:00:00,4.55,5.519348248835468,2.608,0.006
2020-01-09 14:00:00,5.31,6.441261362926667,3.417,0.024
2020-01-09 15:00:00,5.52,6.696000512872919,4.155,0.052
2020-01-09 16:00:00,5.38,6.526174412908752,4.809,0.086
2020-01-09 17:00:00,5.24,6.356348312944584,5.428,0.127
2020-01-09 18:00:00,5.1,6.186522212980415,5.651,0.143
2020-01-09 19:00:00,4.9,5.943913498745889,5.486,0.131
2020-01-09 20:00:00,4.62,5.604261298817552,5.368,0.122
2020-01-09 21:00:00,4.07,4.937087334672606,5.021,0.099
2020-01-09 22:00:00,3.45,4.1850003205455755,4.593,0.073
2020-01-09 23:00:00,2.34,2.838521956543955,4.193,0.053
2020-01-10 00:00:00,1.52,1.8438262281823983,3.929,0.042
2020-01-10 01:00:00,1.38,1.6740001282182297,3.784,0.036
2020-01-10 02:00:00,1.31,1.589087078236146,3.614,0.03
2020-01-10 03:00:00,1.17,1.4192609782719774,3.566,0.029
2020-01-10 04:00:00,1.17,1.4192609782719774,3.65,0.031
2020-01-10 05:00:00,1.52,1.8438262281823983,3.695,0.033
2020-01-10 06:00:00,1.72,2.086434942416924,3.74,0.035
2020-01-10 07:00:00,1.79,2.1713479923990087,3.934,0.042
2020-01-10 08:00:00,2.0,2.426087142345261,3.821,0.038
2020-01-10 09:00:00,2.28,2.765739342273597,3.457,0.025
2020-01-10 10:00:00,4.34,5.264609098889216,3.141,0.016
2020-01-10 11:00:00,4.28,5.191826484618859,3.102,0.015
2020-01-10 12:00:00,4.48,5.434435198853385,3.327,0.021
2020-01-10 13:00:00,5.03,6.101609162998331,3.693,0.033
2020-01-10 14:00:00,5.52,6.696000512872919,4.162,0.052
2020-01-10 15:00:00,5.72,6.938609227107445,4.671,0.078
2020-01-10 16:00:00,6.07,7.363174477017867,5.319,0.119
2020-01-10 17:00:00,6.14,7.4480875269999505,5.998,0.172
2020-01-10 18:00:00,6.07,7.363174477017867,6.179,0.188
2020-01-10 19:00:00,5.86,7.108435327071614,5.926,0.166
2020-01-10 20:00:00,5.66,6.865826612837088,5.513,0.133
2020-01-10 21:00:00,5.52,6.696000512872919,5.037,0.1
